utterance,target
What is the regression equation of <var1> predicting <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Given that <var1> is <val> predict what the value of <var2> would be in the <data> dataset.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the <var2> when the <var1> is <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
"When the <var1> is <val> , what is the value of <var2> in the <data> dataset? ","lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the average <var1> of the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Can you tell me what the average <var1> of the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Find the total mean <var1> in the <data> dataset.,"mean ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> of the <data> dataset,"min ( data = <data> , var1 = '<var1>' )"
Can you tell me what the <var1> was on the coldest day in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
How cold did <var1> get based on the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What is the highest <var1> of the <data> dataset,"max ( data = <data> , var1 = '<var1>' )"
Can you tell me what the <var1> was on the hottest day in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
How hot did <var1> get based on the <data> dataset?,"max ( data = <data> , var1 = '<var1>' )"
What is the correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Describe the relationship of <var1> and <var2> based on their correlation in the <data> dataset.,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Tell me the numeric correlation value of <var1> and <var2> in the <data> dataset.,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Create a linear model of <var1> through <var2> in the <data> data frame in the <data> dataset.,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Describe the relationship of <var1> and <var2> in the <data> data frame by creating a linear model in the <data> dataset.,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you tell me difference in relationship of <var2> and <var1> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Predict the the linear model when the <var1> is at <val> degrees in the <data> dataset.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
Find the <var1> linear model at <val> degrees in the <data> dataset.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
Describe the linear model at <var1> = <val> degrees by using prediction in the <data> dataset.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the mean of the <var1> in the data <data> ? ,"mean ( data = <data> , var1 = '<var1>' )"
Can you give me the average <var1> of the data <data> ? ,"mean ( data = <data> , var1 = '<var1>' )"
Give the mean <var1> of the data <data> .,"mean ( data = <data> , var1 = '<var1>' )"
What is the minimum of the <var1> in the data <data> ? ,"min ( data = <data> , var1 = '<var1>' )"
Can you give me the lowest <var1> of the data <data> ? ,"min( data = <data> , var1 = '<var1>' )"
Give the minimum <var1> of the data <data> .,"min ( data = <data> , var1 = '<var1>' )"
What is the maximum of the <var1> in the data <data> ? ,"max ( data = <data> , var1 = '<var1>' )"
Can you give me the highest recorded <var1> of the data <data> ? ,"max ( data = <data> , var1 = '<var1>' )"
Give the maximum recorded <var1> of the data <data> .,"max ( data = <data> , var1 = '<var1>' )"
Calculate the correlation value between the variables <var1> and in the <data> dataset.,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is the correlation between the variables <var1> and in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you give the correlation value between the variables <var1> and in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Fit a linear model between <var2> and <var1> in the <data> dataset. ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Create a regression model of <var1> on <var2> in the <data> dataset.,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you create a linear model of <var1> on <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can you calculate the predicted values of <var2> for the model described in the previous question given <var1> = <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
Please give the predicted values of the <var1> for the model described in the previous question in the <data> dataset.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What's the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What's the mean <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What's the <var1> on any average day in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What is the maximum <var1> in the <data> ,"max ( data = <data> , var1 = '<var1>' )"
What's the hottest <var1> in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
Give me the highest <var1> degree in the <data> dataset. ,"max ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What's the coldest <var1> in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
Give me the lowest <var1> degree in the <data> dataset. ,"min ( data = <data> , var1 = '<var1>' )"
What's the relationship b/w <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How does <var1> influence <var2> in <data>,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Does <var1> have an affect on <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What's the relationship between the <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How does <var1> influence <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Does <var1> have an affect on <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is the <var2> when <var1> is <val> in <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
<var1> is <val> and <var2> is what in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
Give me the expected <var2> when <var1> is <val> in the <data> dataset. ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Find the average <var1> in the <data> dataset. ,"mean ( data = <data> , var1 = '<var1>' )"
Tell me the average <var1> in the <data> dataset. ,"mean ( data = <data> , var1 = '<var1>' )"
What is the highest <var1> value in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
Find the highest <var1> value in the <data> dataset. ,"max ( data = <data> , var1 = '<var1>' )"
Tell me the highest <var1> value in the <data> dataset. ,"max ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> value in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
Find the lowest <var1> value in the <data> dataset. ,"min ( data = <data> , var1 = '<var1>' )"
Tell me the lowest <var1> value in the <data> dataset. ,"min ( data = <data> , var1 = '<var1>' )"
What is the correlation between <var1> and in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Find the correlation between <var1> and <var2> in the <data> dataset. ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Tell me the correlation between <var1> and <var2> in the <data> dataset. ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How does <var2> respond to a change in <var1> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How strong is the linear relationship between <var2> and <var1> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Can a change in <var1> predict a change in <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Predict the <var2> level when the <var1> is <val> in the <data> dataset. ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the <var2> when the <var1> is <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What would the <var2> be given a <var1> of <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What's the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Of the listed <var1> what is the mean in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What is the mean <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Give the average <var1> in the <data> dataset.,"mean ( data = <data> , var1 = '<var1>' )"
Tell me the average <var1> in the <data> dataset.,"mean ( data = <data> , var1 = '<var1>' )"
"Of the listed <var1> values, which is the highest in the <data> dataset? ","max ( data = <data> , var1 = '<var1>' )"
What is the highest <var1> listed in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
Which listed <var1> is the greatest in the <data> data? ,"max ( data = <data> , var1 = '<var1>' )"
Give me the highest <var1> value in the <data> dataset.,"max ( data = <data> , var1 = '<var1>' )"
What is the highest <var1> value in the <data> ? ,"max ( data = <data> , var1 = '<var1>' )"
What's the highest <var1> value in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
"Of the listed <var1> values, which is the lowest in the <data> dataset? ","min ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> listed in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
Which listed <var1> is the least in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
Give me the lowest <var1> value in the <data> dataset.,"min ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> value in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What's the lowest <var1> value in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What is the actual <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Give me the actual <var1> and <var2> in the <data> dataset.,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
"Tell me what <var2> is outside, and what's the actual <var1> in the <data> dataset? ","corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
"What <var2> does it feel like outside, and tell me the actual <var1> in the <data> dataset.","corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Is the <var2> higher than the actual <var1> (and vice-versa) in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
By how much is the <var2> higher than the actual <var1> (and vice-versa) in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What's the relationship between <var1> and <var2> in <data> ?,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How correlated are <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
How are <var1> and <var2> correlated in the <data> ? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
To what extent are <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What's the <var2> at <var1> = <val> degrees in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
"At <var1> = <val> degrees, what's the predicted <var2> in the <data> dataset? ","lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the <var2> at the current <var1> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the <var2> at the predicted <var1> at <val> pm in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
"At <var1> is <val> degrees, what will the <var2> be in the <data> dataset? ","lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
what is the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
what's the mean <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
how is the <var1> usually in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
what is the typical <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
how hot does <var1> get in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
how hot has <var1> ever gotten in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
what is the highest <var1> recorded in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
how cold does <var1> get in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
what's the coldest <var1> has ever been in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
what is the lowest <var1> recorded in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
does the <var2> like what was forecasted as a <var1> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
to what extent does the <var2> forecasted match the actual <var1> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
is the <var1> accurate to how it feels <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
what is the relationship between <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
how does <var1> affect <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
is <var1> correlated with <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
"when <var1> is <val> degrees , what will the <var2> be in the <data> dataset?  ","lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
what will the <var2> be when <var1> is <val> degrees in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
can I have the forecasted <var2> level for when it's <var1> is <val> degrees in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
what is the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
what is the highest <var1> recorded in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
what is the lowest <var1> recorded in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
is there a correlation beteeen <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
is there a linear relationship between <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
what is your prediction of <var2> when the <var1> is <val> in <data> data.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What is the average <var1> in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What's the average <var1> today in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
Could you check the average <var1> today in the <data> dataset? ,"mean ( data = <data> , var1 = '<var1>' )"
What is the highest <var1> value in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
What's the highest <var1> today in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
How high does the <var1> go in the <data> dataset? ,"max ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> value in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What is the lowest <var1> today in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What is the coldest <var1> today in the <data> dataset? ,"min ( data = <data> , var1 = '<var1>' )"
What is the correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
what is the relationship between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Do you see any correlation between <var1> and <var2> in the <data> dataset? ,"corr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is the linear relationship of <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Do you notice any linear relationship between <var1> and <var2> in the <data> dataset? ,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
Look for a linear relationship between <var1> and <var2> in the <data> dataset.,"lr ( data = <data> , var1 = '<var1>' , var2 = '<var2>' )"
What is your prediction of <var2> when <var1> is <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
Predict the <var2> when <var1> is <val> in the <data> data.,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
What do you think the <var2> should be when the <var1> is <val> in the <data> dataset? ,"lr_pred ( model = linreg, newdata = { '<var1>' : <val> } ) )"
