utterance,target
What's the relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Can you make a relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What's the linear regression of humidity on temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Can you predict from the model what humidity is associated with temperature 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What's the predicted humidity whenm temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What's the predicted value of humidity when temperature is 12 degrees celsius in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the mean of temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me what the mean of the temperature is in the WeatherHistory dataset. ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the minimum  of temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the minimum temperature entry in the WeatherHistory dataset?,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me what the minimum temperature is in the WeatherHistory dataset.   ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the maximum of temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the maximum temperature entry in the WeatherHistory dataset?  ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the maximum of temperature in the WeatherHistory dataset.,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
How correlated is temperature from feeling_temperature in the WeatherHistory dataset?  ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Give me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What is the linear model of temperature predicting humidity  in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What is the regression model of temperature predicting humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What is the regression equation of temperature predicting humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Given that temperature is 12 predict what the value of humidity would be in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the humidity when the temperature is 12 in the WeatherHistory dataset?  ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"When the temperature is 12, what is the value of humidity in the WeatherHistory dataset?  ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the average temperature of the Weather History dataset in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Can you tell me what the average temperature of the dataset is in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Find the total mean temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature of the Weather History dataset in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Can you tell me what the temperature was on the coldest day in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
How cold did it get based on the dataset in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature of the Weather History dataset in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Can you tell me what the temperature was on the hottest day in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
How hot did it get based on the dataset in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Describe the relationship of temperature and feeling_temperature based on their correlation in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Tell me the numeric correlation value of temperature and feeling_temperature in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Create a linear model of humidity through temperature in the Weather History data frame in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Describe the relationship of each variable in the Weather History data frame by creating a linear model in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Can you tell me difference in relationship of humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Predict the the linear model when the temperature is at 12 degrees in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Find the temperature linear model at 12 degrees in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Describe the linear model at temp = 12 degrees by using prediction in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the mean of the temperature in the data WeatherHistory ? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Can you give me the average temperature of the data WeatherHistoryt? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Give the mean temperature of the data WeatherHistory.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the minimum of the temperature in the data WeatherHistory? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Can you give me the lowest temperature of the data WeatherHistory? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Give the minimum temperature of the data WeatherHistory.,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the maximum of the temperature in the data WeatherHistory ? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Can you give me the highest recorded temperature of the data WeatherHistory? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Give the maximum recorded temperature of the data WeatherHistory.,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Calculate the correlation value between the variables temperature and  in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What is the correlation between the variables temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Can you give the correlation value between the variables temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Fit a linear model between humidity and temperature in the WeatherHistory dataset. ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Create a regression model of temperature on humidity in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Can you create a linear model of temperature on humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Calculate the  μ̂ , β̂ 1, and β̂ 2 using the predict function and model described in the previous question in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Can you calculate the predicted values for the model described in the previous question in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Please give the predicted values for the model described in the previous question in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What's the average temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What's the mean temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What's the temperature on any average day in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the maximum temperature in the WeatherHistory dataset?  ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What's the hottest temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the highest temperature degree in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature in the WeatherHistory dataset?  ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the coldest temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the lowest temperature degree in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the relationship b/w temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
How does temperature influence  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Does temperature have an affect on feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What's the relationship b/w temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
How does temperature influence humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Does temperature have an affect on humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What is the humidity when temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Temperature is 12 and humidity is what in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Give me the expected humidity when temperature is 12 in the WeatherHistory dataset. ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Find the average temperature in the WeatherHistory dataset. ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me the average temperature in the WeatherHistory dataset. ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Find the highest temperature value in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me the highest temperature value in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Find the lowest temperature value in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me the lowest temperature value in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Find the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Tell me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
How does humidity respond to a change in temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
How strong is the linear relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Can a change in temperature predict a change in humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Predict the humidity level when the temperature is 12 in the WeatherHistory dataset. ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the humidity when the temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What would the humidity be given a temperature of 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What's the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature, what is the mean in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Give the average temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Tell me the average temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the highest in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature listed in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Which listed temperature is the greatest in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the highest temperature value in the WeatherHistory dataset.,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What's the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the lowest in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature listed in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Which listed temperature is the least in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
Give me the lowest temperature value in the WeatherHistory dataset.,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What's the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the actual temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Give me the actual temperature and feeling_temperature in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me what feeling_temperature outside, and what's the actual temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What temperature is feeling_temperature outside, and tell me the actual temperature in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
By how much is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What's the relationship between temperature and humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
How correlated are temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
How are temperature and humidity correlated in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
To what extent are temperature and humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What's the humidity at 12 degrees in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what's the predicted humidity in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the humidity at the current temperature in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the humidity at the predicted temperature at 12 pm in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what will the humidity be in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
what is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
what's the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
how is the temperature usually in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
what is the typical temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
how hot does it get in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
how hot has it ever gotten in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
what is the highest temperature recorded in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
how cold does it get in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
what's the coldest it's ever been in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
what is the lowest temperature recorded in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
does feeling_temperature like temperature forecasted in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
to what extent does the feeling_temperature forecasted match the actual temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
is the temperature accurate to feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
what is the relationship between temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
how does temperature affect humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
is temperature correlated with humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"when it is 12 degrees Celsius, what will the humidity be in the WeatherHistory dataset?   ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
what will the humidity be when it's 12 degrees celsius in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
can I have the forecasted humidity level for when it's 12 degrees in the WeatherHistory dataset?  ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
what is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
what is the highest temperature recorded in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
what is the lowest temperature recorded in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
is there a correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
is there a linear relationship between temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
what is your prediction of humidity when the temperature is 12 in WeatherHistory data.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What is the average temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the average temperature today in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
Could you check the average temperature today in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the highest temperature today in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
How high does the temperature go in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the lowest temperature today in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the coldest temperature today in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'Temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What is the relationship between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
Do you see any correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
What is the linear relationship of  humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Do you notice any linear relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
Look for a linear relationship between humidity and temperature in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
What is your prediction of humidity when temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
Predict the humidity when temperature is 12 in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
What do you think the humidity should be when the temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
amount of sepal_length in iris,"summation ( data = iris , var1 = sepal_length )"
amount of the sepal_length in iris df,"summation ( data = iris , var1 = sepal_length )"
boxplot of the sepal_length in iris data,"boxplot ( data = iris , var1 = sepal_length )"
spans of sepal_length in iris data base,"ranges ( data = iris , var1 = sepal_length )"
aggregate of sepal_length in data iris,"summation ( data = iris , var1 = sepal_length )"
var of sepal_length in iris,"variance ( data = iris , var1 = sepal_length )"
min of sepal_length in iris df,"minimum ( data = iris , var1 = sepal_length )"
amount of sepal_length in iris data base,"summation ( data = iris , var1 = sepal_length )"
histogram of the sepal_length in iris data base,"histogram ( data = iris , var1 = sepal_length )"
var of the sepal_length in data iris,"variance ( data = iris , var1 = sepal_length )"
deviation of the sepal_length in data iris,"std ( data = iris , var1 = sepal_length )"
hist of sepal_length in iris data base,"histogram ( data = iris , var1 = sepal_length )"
span of sepal_length in data iris,"ranges ( data = iris , var1 = sepal_length )"
ranges of the sepal_length in iris data,"ranges ( data = iris , var1 = sepal_length )"
amount of sepal_length in dataset iris,"summation ( data = iris , var1 = sepal_length )"
variance of the sepal_length in iris,"variance ( data = iris , var1 = sepal_length )"
cor of the sepal_length in iris data,"corr ( data = iris , var1 = sepal_length )"
highest of the sepal_length in df iris,"maximum ( data = iris , var1 = sepal_length )"
max of the sepal_length in data iris,"maximum ( data = iris , var1 = sepal_length )"
mean of the sepal_length in data iris,"mean ( data = iris , var1 = sepal_length )"
spans of the sepal_length in iris data,"ranges ( data = iris , var1 = sepal_length )"
spans of the sepal_length in iris df,"ranges ( data = iris , var1 = sepal_length )"
hist of sepal_length in dataset iris,"histogram ( data = iris , var1 = sepal_length )"
largest of the sepal_length in data iris,"maximum ( data = iris , var1 = sepal_length )"
highest of the sepal_length in iris dataset,"maximum ( data = iris , var1 = sepal_length )"
deviation of the sepal_length in iris dataset,"std ( data = iris , var1 = sepal_length )"
highest of the sepal_length in iris dataset,"maximum ( data = iris , var1 = sepal_length )"
var of sepal_length in iris data,"variance ( data = iris , var1 = sepal_length )"
sum of sepal_length in iris,"summation ( data = iris , var1 = sepal_length )"
hist of the sepal_length in iris dataset,"histogram ( data = iris , var1 = sepal_length )"
span of iris,ranges ( data = iris )
How many data  sepal_length = -68.99844309103942 data,"equal ( data = iris , var1 = sepal_length , val = -68.99844309103942 )"
How many info  sepal_length <= -1.1580736903917739 ,"less_eq ( data = iris , var1 = sepal_length , val = -1.1580736903917739 )"
How many info where sepal_length bigger than or same as 40.151753632142714 data,"greater_eq ( data = iris , var1 = sepal_length , val = 40.151753632142714 )"
Number of entries  sepal_length less than or same as 44.09550080012414 df,"less_eq ( data = iris , var1 = sepal_length , val = 44.09550080012414 )"
How many entries where sepal_length < 14.222060757295466 data,"less ( data = iris , var1 = sepal_length , val = 14.222060757295466 )"
How many data  sepal_length smaller than -72.33887965629893 df,"less ( data = iris , var1 = sepal_length , val = -72.33887965629893 )"
Number of rows where sepal_length > -5.261102292811032 data,"greater ( data = iris , var1 = sepal_length , val = -5.261102292811032 )"
Number of entries with sepal_length >= 80.18662883415243 ,"greater_eq ( data = iris , var1 = sepal_length , val = 80.18662883415243 )"
Number of info  sepal_length  >  -68.86393991609188 ,"greater ( data = iris , var1 = sepal_length , val = -68.86393991609188 )"
How many entries  sepal_length less than or same as 93.35870578539618 df,"less_eq ( data = iris , var1 = sepal_length , val = 93.35870578539618 )"
Number of rows where sepal_length higher than or same as -10.56070653167393 df,"greater_eq ( data = iris , var1 = sepal_length , val = -10.56070653167393 )"
Number of entries with sepal_length bigger than or equal to -86.99538984329918 ,"greater_eq ( data = iris , var1 = sepal_length , val = -86.99538984329918 )"
How many entries  sepal_length  <  33.36727773599719 data,"less ( data = iris , var1 = sepal_length , val = 33.36727773599719 )"
How many data where sepal_length  <=  19.109273335637994 dataset,"less_eq ( data = iris , var1 = sepal_length , val = 19.109273335637994 )"
Number of entries with sepal_length < -88.63409734151773 df,"less ( data = iris , var1 = sepal_length , val = -88.63409734151773 )"
