utterance,target
correlation between sex with fnlwgt in dataset adult,"corr ( data = adult , var1 = sex , var2 = fnlwgt )"
variance of the capital_gain in adult,"variance ( data = adult , var1 = capital_gain )"
variance of the in adult data base,variance ( data = adult )
How many entries  capital_gain is -31.825390638297705 in dataset adult,"equal ( data = adult , var1 = capital_gain , val = -31.825390638297705 )"
scatter plot between capital_gain with education_num in dataset adult,"scatterplot ( data = adult , var1 = capital_gain , var2 = education_num )"
distribution of capital_loss in adult data,"histogram ( data = adult , var1 = capital_loss )"
span of the in adult dataset,ranges ( data = adult )
How many data with capital_loss lower than or equal to 72.85571303503343 in adult data base,"less_eq ( data = adult , var1 = capital_loss , val = 72.85571303503343 )"
corr of capital_loss with education_num in adult data base,"corr ( data = adult , var1 = capital_loss , var2 = education_num )"
ranges of hours_per_week in df adult,"ranges ( data = adult , var1 = hours_per_week )"
variance of in adult data base,variance ( data = adult )
How many entries where hours_per_week < 30.746906725230986 in adult dataset,"less ( data = adult , var1 = hours_per_week , val = 30.746906725230986 )"
corr between hours_per_week and sex in data adult,"corr ( data = adult , var1 = hours_per_week , var2 = sex )"
range of native_country in df adult,"ranges ( data = adult , var1 = native_country )"
highest of the in df adult,maximum ( data = adult )
How many entries  native_country lower than or same as 89.15102016470323 in df adult,"less_eq ( data = adult , var1 = native_country , val = 89.15102016470323 )"
correlation of native_country and sex in adult,"corr ( data = adult , var1 = native_country , var2 = sex )"
smallest of the alcohol in data wine,"minimum ( data = wine , var1 = alcohol )"
spans of the in wine df,ranges ( data = wine )
How many data where alcohol <= -1.9432247063664079 in wine data,"less_eq ( data = wine , var1 = alcohol , val = -1.9432247063664079 )"
scatter plot between alcohol and flavanoids in dataset wine,"scatterplot ( data = wine , var1 = alcohol , var2 = flavanoids )"
min of the malic_acid in wine data,"minimum ( data = wine , var1 = malic_acid )"
min of the in wine df,minimum ( data = wine )
How many data  malic_acid bigger than or same as -12.606201551362915 in data wine,"greater_eq ( data = wine , var1 = malic_acid , val = -12.606201551362915 )"
scatter plot of malic_acid and flavanoids in data wine,"scatterplot ( data = wine , var1 = malic_acid , var2 = flavanoids )"
max of the ash in df wine,"maximum ( data = wine , var1 = ash )"
highest of in df wine,maximum ( data = wine )
How many entries  ash larger than or equal to 52.97526049868776 in wine df,"greater_eq ( data = wine , var1 = ash , val = 52.97526049868776 )"
cor of ash with malic_acid in wine df,"corr ( data = wine , var1 = ash , var2 = malic_acid )"
distribution of alcalinity_of_ash in dataset wine,"histogram ( data = wine , var1 = alcalinity_of_ash )"
variance of in wine,variance ( data = wine )
How many entries with alcalinity_of_ash higher than or same as 5.645485796858395 in wine data,"greater_eq ( data = wine , var1 = alcalinity_of_ash , val = 5.645485796858395 )"
corr of alcalinity_of_ash with proanthocyanins in data wine,"corr ( data = wine , var1 = alcalinity_of_ash , var2 = proanthocyanins )"
largest of magnesium in wine df,"maximum ( data = wine , var1 = magnesium )"
sum of in wine,summation ( data = wine )
How many entries  magnesium bigger than 70.72821787303127 in data wine,"greater ( data = wine , var1 = magnesium , val = 70.72821787303127 )"
corr between magnesium with alcalinity_of_ash in wine data,"corr ( data = wine , var1 = magnesium , var2 = alcalinity_of_ash )"
quantile of the total_phenols in wine data base,"quantile ( data = wine , var1 = total_phenols )"
typical of the in wine data,mean ( data = wine )
How many entries where total_phenols smaller than or equal to -69.95953540578657 in wine data,"less_eq ( data = wine , var1 = total_phenols , val = -69.95953540578657 )"
corr between total_phenols with proanthocyanins in wine data base,"corr ( data = wine , var1 = total_phenols , var2 = proanthocyanins )"
aggregate of flavanoids in dataset wine,"summation ( data = wine , var1 = flavanoids )"
highest of the in dataset wine,maximum ( data = wine )
Number of data where flavanoids  <=  -91.24411805288948 in wine,"less_eq ( data = wine , var1 = flavanoids , val = -91.24411805288948 )"
cor of flavanoids with alcalinity_of_ash in dataset wine,"corr ( data = wine , var1 = flavanoids , var2 = alcalinity_of_ash )"
range of the nonflavanoid_phenols in wine data base,"ranges ( data = wine , var1 = nonflavanoid_phenols )"
maximum of in wine df,maximum ( data = wine )
How many rows where nonflavanoid_phenols < -0.01958103498928665 in wine df,"less ( data = wine , var1 = nonflavanoid_phenols , val = -0.01958103498928665 )"
scatterplot between nonflavanoid_phenols and proanthocyanins in data wine,"scatterplot ( data = wine , var1 = nonflavanoid_phenols , var2 = proanthocyanins )"
correlation of the proanthocyanins in data wine,"corr ( data = wine , var1 = proanthocyanins )"
variance of in wine,variance ( data = wine )
Number of rows with proanthocyanins >= -38.22080641800627 in wine df,"greater_eq ( data = wine , var1 = proanthocyanins , val = -38.22080641800627 )"
correlation of proanthocyanins with magnesium in wine data base,"corr ( data = wine , var1 = proanthocyanins , var2 = magnesium )"
largest of varor_intensity in wine data,"maximum ( data = wine , var1 = varor_intensity )"
min of in df wine,minimum ( data = wine )
How many rows with varor_intensity bigger than 28.279289618275584 in wine df,"greater ( data = wine , var1 = varor_intensity , val = 28.279289618275584 )"
cor of varor_intensity with ash in wine df,"corr ( data = wine , var1 = varor_intensity , var2 = ash )"
sparsity of the hue in df wine,"std ( data = wine , var1 = hue )"
correlation of the in dataset wine,corr ( data = wine )
Number of rows with hue lower than or equal to -56.058451578092686 in wine dataset,"less_eq ( data = wine , var1 = hue , val = -56.058451578092686 )"
scatter plot between hue and magnesium in wine data base,"scatterplot ( data = wine , var1 = hue , var2 = magnesium )"
standard deviation of buying in dataset car,"std ( data = car , var1 = buying )"
quantile of in car,quantile ( data = car )
Number of rows  buying lower than or equal to -44.049385424652534 in car data base,"less_eq ( data = car , var1 = buying , val = -44.049385424652534 )"
cor of buying with lug_boot in df car,"corr ( data = car , var1 = buying , var2 = lug_boot )"
hist of the maint in df car,"histogram ( data = car , var1 = maint )"
summary of the in car,describe ( data = car )
Number of data with maint  ==  -55.448548477958724 in car data,"equal ( data = car , var1 = maint , val = -55.448548477958724 )"
corr between maint and buying in data car,"corr ( data = car , var1 = maint , var2 = buying )"
sum of comfort in car,"summation ( data = car , var1 = comfort )"
std of in data car,std ( data = car )
How many info with comfort is -56.28707606861531 in car dataset,"equal ( data = car , var1 = comfort , val = -56.28707606861531 )"
scatter plot between comfort and doors in car data,"scatterplot ( data = car , var1 = comfort , var2 = doors )"
spans of the doors in df car,"ranges ( data = car , var1 = doors )"
ranges of in data car,ranges ( data = car )
How many info  doors higher than or same as -78.0032127655818 in data car,"greater_eq ( data = car , var1 = doors , val = -78.0032127655818 )"
cor between doors and maint in car dataset,"corr ( data = car , var1 = doors , var2 = maint )"
span of the persons in dataset car,"ranges ( data = car , var1 = persons )"
span of the in dataset car,ranges ( data = car )
How many rows with persons bigger than -52.02195811358994 in car data base,"greater ( data = car , var1 = persons , val = -52.02195811358994 )"
corr between persons and comfort in data car,"corr ( data = car , var1 = persons , var2 = comfort )"
range of the lug_boot in car dataset,"ranges ( data = car , var1 = lug_boot )"
quantile of in dataset car,quantile ( data = car )
How many entries where lug_boot  ==  -42.957028592140276 in car,"equal ( data = car , var1 = lug_boot , val = -42.957028592140276 )"
scatterplot of lug_boot and doors in car data,"scatterplot ( data = car , var1 = lug_boot , var2 = doors )"
distribution of safety in df car,"histogram ( data = car , var1 = safety )"
deviation of in dataset car,std ( data = car )
How many entries with safety greater than or equal to -52.94927387831414 in data car,"greater_eq ( data = car , var1 = safety , val = -52.94927387831414 )"
correlation of safety with comfort in car df,"corr ( data = car , var1 = safety , var2 = comfort )"
standard deviation of the radius in breast_cancer dataset,"std ( data = breast_cancer , var1 = radius )"
typical of the in data breast_cancer,mean ( data = breast_cancer )
How many rows  radius bigger than or equal to -3.410521053317723 in dataset breast_cancer,"greater_eq ( data = breast_cancer , var1 = radius , val = -3.410521053317723 )"
correlation of radius and fractal dimension in breast_cancer df,"corr ( data = breast_cancer , var1 = radius , var2 = fractal dimension )"
quantity of the texture in breast_cancer data,"summation ( data = breast_cancer , var1 = texture )"
max of in breast_cancer dataset,maximum ( data = breast_cancer )
How many entries where texture larger than -89.34367517581254 in breast_cancer data base,"greater ( data = breast_cancer , var1 = texture , val = -89.34367517581254 )"
scatterplot of texture with fractal dimension in dataset breast_cancer,"scatterplot ( data = breast_cancer , var1 = texture , var2 = fractal dimension )"
variance of perimeter in df breast_cancer,"variance ( data = breast_cancer , var1 = perimeter )"
min of in breast_cancer data,minimum ( data = breast_cancer )
Number of data where perimeter  ==  -64.39825447299384 in df breast_cancer,"equal ( data = breast_cancer , var1 = perimeter , val = -64.39825447299384 )"
cor of perimeter with texture in df breast_cancer,"corr ( data = breast_cancer , var1 = perimeter , var2 = texture )"
smallest of area in breast_cancer data,"minimum ( data = breast_cancer , var1 = area )"
smallest of in breast_cancer dataset,minimum ( data = breast_cancer )
Number of data where area equal to 31.411736341387922 in df breast_cancer,"equal ( data = breast_cancer , var1 = area , val = 31.411736341387922 )"
correlation between area and texture in breast_cancer df,"corr ( data = breast_cancer , var1 = area , var2 = texture )"
sparsity of smoothness in breast_cancer data,"std ( data = breast_cancer , var1 = smoothness )"
spans of in breast_cancer df,ranges ( data = breast_cancer )
Number of data with smoothness > -19.568762126653468 in breast_cancer data base,"greater ( data = breast_cancer , var1 = smoothness , val = -19.568762126653468 )"
corr of smoothness and symmetry in df breast_cancer,"corr ( data = breast_cancer , var1 = smoothness , var2 = symmetry )"
histogram of compactness in breast_cancer dataset,"histogram ( data = breast_cancer , var1 = compactness )"
typical of the in breast_cancer data,mean ( data = breast_cancer )
Number of rows  compactness higher than 21.003475781894167 in data breast_cancer,"greater ( data = breast_cancer , var1 = compactness , val = 21.003475781894167 )"
cor between compactness with concavity in dataset breast_cancer,"corr ( data = breast_cancer , var1 = compactness , var2 = concavity )"
cor of the concavity in dataset breast_cancer,"corr ( data = breast_cancer , var1 = concavity )"
summary of the in dataset breast_cancer,describe ( data = breast_cancer )
Number of info where concavity higher than or same as -16.333458299026077 in breast_cancer data base,"greater_eq ( data = breast_cancer , var1 = concavity , val = -16.333458299026077 )"
cor between concavity with texture in breast_cancer,"corr ( data = breast_cancer , var1 = concavity , var2 = texture )"
mean of concave points in data breast_cancer,"mean ( data = breast_cancer , var1 = concave points )"
sparsity of in df breast_cancer,variance ( data = breast_cancer )
How many info with concave points lower than -98.50558396682997 in df breast_cancer,"less ( data = breast_cancer , var1 = concave points , val = -98.50558396682997 )"
cor of concave points and radius in dataset breast_cancer,"corr ( data = breast_cancer , var1 = concave points , var2 = radius )"
quantile of symmetry in breast_cancer,"quantile ( data = breast_cancer , var1 = symmetry )"
highest of in data breast_cancer,maximum ( data = breast_cancer )
Number of rows where symmetry  >=  42.83089148280348 in breast_cancer dataset,"greater_eq ( data = breast_cancer , var1 = symmetry , val = 42.83089148280348 )"
cor between symmetry and concavity in breast_cancer,"corr ( data = breast_cancer , var1 = symmetry , var2 = concavity )"
cor of fractal dimension in breast_cancer,"corr ( data = breast_cancer , var1 = fractal dimension )"
cor of the in dataset breast_cancer,corr ( data = breast_cancer )
How many data  fractal dimension  <=  50.43837383361364 in df breast_cancer,"less_eq ( data = breast_cancer , var1 = fractal dimension , val = 50.43837383361364 )"
correlation of fractal dimension and radius in df breast_cancer,"corr ( data = breast_cancer , var1 = fractal dimension , var2 = radius )"
quantile of the age in heart_disease data base,"quantile ( data = heart_disease , var1 = age )"
max of in data heart_disease,maximum ( data = heart_disease )
Number of data  age  <=  -85.71299273826747 in heart_disease data,"less_eq ( data = heart_disease , var1 = age , val = -85.71299273826747 )"
cor between age and trestbps in heart_disease df,"corr ( data = heart_disease , var1 = age , var2 = trestbps )"
mean of sex in dataset heart_disease,"mean ( data = heart_disease , var1 = sex )"
store of in heart_disease,load ( data = heart_disease )
How many entries with sex >= -33.04728443962392 in heart_disease df,"greater_eq ( data = heart_disease , var1 = sex , val = -33.04728443962392 )"
correlation of sex and age in heart_disease,"corr ( data = heart_disease , var1 = sex , var2 = age )"
distribution of cp in heart_disease df,"histogram ( data = heart_disease , var1 = cp )"
max of the in heart_disease,maximum ( data = heart_disease )
How many data where cp = -90.79196499717807 in data heart_disease,"equal ( data = heart_disease , var1 = cp , val = -90.79196499717807 )"
scatter plot between cp and fbs in dataset heart_disease,"scatterplot ( data = heart_disease , var1 = cp , var2 = fbs )"
correlation of trestbps in heart_disease df,"corr ( data = heart_disease , var1 = trestbps )"
largest of the in heart_disease dataset,maximum ( data = heart_disease )
How many entries with trestbps = 13.900820120523434 in dataset heart_disease,"equal ( data = heart_disease , var1 = trestbps , val = 13.900820120523434 )"
corr between trestbps with restecg in data heart_disease,"corr ( data = heart_disease , var1 = trestbps , var2 = restecg )"
variance of chol in data heart_disease,"variance ( data = heart_disease , var1 = chol )"
quantity of the in heart_disease,summation ( data = heart_disease )
Number of data  chol greater than 0.0804150530318708 in df heart_disease,"greater ( data = heart_disease , var1 = chol , val = 0.0804150530318708 )"
scatterplot of chol and restecg in dataset heart_disease,"scatterplot ( data = heart_disease , var1 = chol , var2 = restecg )"
range of the fbs in heart_disease data,"ranges ( data = heart_disease , var1 = fbs )"
cor of the in heart_disease dataset,corr ( data = heart_disease )
Number of rows  fbs larger than 88.06054960505395 in heart_disease data,"greater ( data = heart_disease , var1 = fbs , val = 88.06054960505395 )"
corr between fbs with restecg in heart_disease data,"corr ( data = heart_disease , var1 = fbs , var2 = restecg )"
sparsity of restecg in df heart_disease,"variance ( data = heart_disease , var1 = restecg )"
quantile of in dataset heart_disease,quantile ( data = heart_disease )
How many rows with restecg greater than or same as -40.88972062600238 in heart_disease df,"greater_eq ( data = heart_disease , var1 = restecg , val = -40.88972062600238 )"
scatterplot between restecg with age in heart_disease dataset,"scatterplot ( data = heart_disease , var1 = restecg , var2 = age )"
average of thalach in df heart_disease,"mean ( data = heart_disease , var1 = thalach )"
sparsity of in df heart_disease,variance ( data = heart_disease )
How many entries  thalach  ==  93.52602483091249 in heart_disease data,"equal ( data = heart_disease , var1 = thalach , val = 93.52602483091249 )"
scatterplot of thalach with restecg in heart_disease data,"scatterplot ( data = heart_disease , var1 = thalach , var2 = restecg )"
corr of the num in heart_disease,"corr ( data = heart_disease , var1 = num )"
variance of the in df heart_disease,variance ( data = heart_disease )
Number of data where num bigger than or same as 67.06553490689359 in dataset heart_disease,"greater_eq ( data = heart_disease , var1 = num , val = 67.06553490689359 )"
corr between num and chol in heart_disease,"corr ( data = heart_disease , var1 = num , var2 = chol )"
typical of fixed_acidity in wine_quality df,"mean ( data = wine_quality , var1 = fixed_acidity )"
aggregate of the in wine_quality dataset,summation ( data = wine_quality )
How many rows with fixed_acidity bigger than or same as 77.37824575974426 in dataset wine_quality,"greater_eq ( data = wine_quality , var1 = fixed_acidity , val = 77.37824575974426 )"
scatter plot of fixed_acidity and pH in df wine_quality,"scatterplot ( data = wine_quality , var1 = fixed_acidity , var2 = pH )"
mean of volatile_acidity in dataset wine_quality,"mean ( data = wine_quality , var1 = volatile_acidity )"
minimum of the in wine_quality data base,minimum ( data = wine_quality )
How many rows with volatile_acidity larger than or same as -57.96003756167634 in wine_quality dataset,"greater_eq ( data = wine_quality , var1 = volatile_acidity , val = -57.96003756167634 )"
scatter plot of volatile_acidity and chlorides in data wine_quality,"scatterplot ( data = wine_quality , var1 = volatile_acidity , var2 = chlorides )"
std of citric_acid in data wine_quality,"std ( data = wine_quality , var1 = citric_acid )"
smallest of in wine_quality,minimum ( data = wine_quality )
How many info  citric_acid higher than -0.6187166320446522 in dataset wine_quality,"greater ( data = wine_quality , var1 = citric_acid , val = -0.6187166320446522 )"
cor of citric_acid with volatile_acidity in wine_quality data base,"corr ( data = wine_quality , var1 = citric_acid , var2 = volatile_acidity )"
ranges of residual_sugar in data wine_quality,"ranges ( data = wine_quality , var1 = residual_sugar )"
correlation of in wine_quality,corr ( data = wine_quality )
How many info with residual_sugar lower than or equal to -55.73688716951557 in dataset wine_quality,"less_eq ( data = wine_quality , var1 = residual_sugar , val = -55.73688716951557 )"
correlation of residual_sugar with free_sulfur_dioxide in dataset wine_quality,"corr ( data = wine_quality , var1 = residual_sugar , var2 = free_sulfur_dioxide )"
range of chlorides in wine_quality dataset,"ranges ( data = wine_quality , var1 = chlorides )"
cor of the in wine_quality data base,corr ( data = wine_quality )
How many rows  chlorides  <=  91.86534389646695 in df wine_quality,"less_eq ( data = wine_quality , var1 = chlorides , val = 91.86534389646695 )"
scatter plot of chlorides with volatile_acidity in wine_quality df,"scatterplot ( data = wine_quality , var1 = chlorides , var2 = volatile_acidity )"
histogram of free_sulfur_dioxide in dataset wine_quality,"histogram ( data = wine_quality , var1 = free_sulfur_dioxide )"
summary of in wine_quality df,describe ( data = wine_quality )
How many rows where free_sulfur_dioxide <= 87.40985091107919 in wine_quality dataset,"less_eq ( data = wine_quality , var1 = free_sulfur_dioxide , val = 87.40985091107919 )"
correlation of free_sulfur_dioxide with pH in df wine_quality,"corr ( data = wine_quality , var1 = free_sulfur_dioxide , var2 = pH )"
var of total_sulfur_dioxide in wine_quality data,"variance ( data = wine_quality , var1 = total_sulfur_dioxide )"
highest of the in wine_quality df,maximum ( data = wine_quality )
Number of info  total_sulfur_dioxide bigger than -68.70348462281662 in data wine_quality,"greater ( data = wine_quality , var1 = total_sulfur_dioxide , val = -68.70348462281662 )"
correlation between total_sulfur_dioxide with volatile_acidity in wine_quality dataset,"corr ( data = wine_quality , var1 = total_sulfur_dioxide , var2 = volatile_acidity )"
minimum of density in wine_quality data,"minimum ( data = wine_quality , var1 = density )"
amount of the in data wine_quality,summation ( data = wine_quality )
How many entries where density  <=  83.99909269578151 in wine_quality data base,"less_eq ( data = wine_quality , var1 = density , val = 83.99909269578151 )"
correlation between density and pH in wine_quality data base,"corr ( data = wine_quality , var1 = density , var2 = pH )"
sparsity of the pH in wine_quality data,"std ( data = wine_quality , var1 = pH )"
correlation of in dataset wine_quality,corr ( data = wine_quality )
How many rows with pH  =  -38.74245254699582 in wine_quality data base,"equal ( data = wine_quality , var1 = pH , val = -38.74245254699582 )"
scatter plot between pH with fixed_acidity in wine_quality data base,"scatterplot ( data = wine_quality , var1 = pH , var2 = fixed_acidity )"
sum of sulphates in data wine_quality,"summation ( data = wine_quality , var1 = sulphates )"
range of in wine_quality df,ranges ( data = wine_quality )
Number of info with sulphates  >=  -11.220369246618063 in data wine_quality,"greater_eq ( data = wine_quality , var1 = sulphates , val = -11.220369246618063 )"
scatterplot of sulphates with alcohol in wine_quality dataset,"scatterplot ( data = wine_quality , var1 = sulphates , var2 = alcohol )"
hist of the alcohol in wine_quality data base,"histogram ( data = wine_quality , var1 = alcohol )"
highest of the in wine_quality data base,maximum ( data = wine_quality )
Number of data where alcohol larger than or same as -82.79393886377989 in wine_quality data base,"greater_eq ( data = wine_quality , var1 = alcohol , val = -82.79393886377989 )"
cor of alcohol and quality in data wine_quality,"corr ( data = wine_quality , var1 = alcohol , var2 = quality )"
ranges of the quality in wine_quality data,"ranges ( data = wine_quality , var1 = quality )"
quantile of in wine_quality df,quantile ( data = wine_quality )
How many info with quality greater than 22.471786045446706 in wine_quality df,"greater ( data = wine_quality , var1 = quality , val = 22.471786045446706 )"
cor between quality and total_sulfur_dioxide in df wine_quality,"corr ( data = wine_quality , var1 = quality , var2 = total_sulfur_dioxide )"
maximum of triaxial acceleration in smartphones data,"maximum ( data = smartphones , var1 = triaxial acceleration )"
spans of in dataset smartphones,ranges ( data = smartphones )
Number of data where triaxial acceleration lower than or equal to 35.325550927997426 in smartphones dataset,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = 35.325550927997426 )"
scatterplot between triaxial acceleration with label in data smartphones,"scatterplot ( data = smartphones , var1 = triaxial acceleration , var2 = label )"
amount of the triaxial angular velocity in smartphones dataset,"summation ( data = smartphones , var1 = triaxial angular velocity )"
sparsity of the in df smartphones,std ( data = smartphones )
Number of info where triaxial angular velocity  <=  78.16562614893007 in df smartphones,"less_eq ( data = smartphones , var1 = triaxial angular velocity , val = 78.16562614893007 )"
cor between triaxial angular velocity with triaxial acceleration in smartphones df,"corr ( data = smartphones , var1 = triaxial angular velocity , var2 = triaxial acceleration )"
sum of the 561_feature in df smartphones,"summation ( data = smartphones , var1 = 561_feature )"
corr of the in smartphones data base,corr ( data = smartphones )
How many data  561_feature less than or equal to 6.763826359992393 in smartphones data base,"less_eq ( data = smartphones , var1 = 561_feature , val = 6.763826359992393 )"
cor of 561_feature with label in smartphones dataset,"corr ( data = smartphones , var1 = 561_feature , var2 = label )"
hist of label in smartphones dataset,"histogram ( data = smartphones , var1 = label )"
load of in smartphones dataset,load ( data = smartphones )
How many entries where label greater than or equal to -93.59824143001188 in smartphones data,"greater_eq ( data = smartphones , var1 = label , val = -93.59824143001188 )"
scatter plot of label and triaxial acceleration in smartphones data,"scatterplot ( data = smartphones , var1 = label , var2 = triaxial acceleration )"
ranges of the identifier in smartphones data,"ranges ( data = smartphones , var1 = identifier )"
highest of in smartphones,maximum ( data = smartphones )
Number of entries  identifier lower than 92.1249256677443 in smartphones df,"less ( data = smartphones , var1 = identifier , val = 92.1249256677443 )"
scatterplot between identifier with 561_feature in smartphones,"scatterplot ( data = smartphones , var1 = identifier , var2 = 561_feature )"
minimum of the x in forest_fire data base,"minimum ( data = forest_fire , var1 = x )"
summary of the in forest_fire df,describe ( data = forest_fire )
Number of entries where x  >  -8.96451759176604 in forest_fire,"greater ( data = forest_fire , var1 = x , val = -8.96451759176604 )"
scatter plot of x with RH in forest_fire data,"scatterplot ( data = forest_fire , var1 = x , var2 = RH )"
quantile of the y in forest_fire,"quantile ( data = forest_fire , var1 = y )"
sum of the in forest_fire,summation ( data = forest_fire )
Number of rows  y bigger than or equal to -42.003228436120274 in forest_fire,"greater_eq ( data = forest_fire , var1 = y , val = -42.003228436120274 )"
cor between y and wind in forest_fire dataset,"corr ( data = forest_fire , var1 = y , var2 = wind )"
histogram of month in forest_fire,"histogram ( data = forest_fire , var1 = month )"
summary of in forest_fire data,describe ( data = forest_fire )
How many rows with month larger than or same as -12.295993286284173 in forest_fire data base,"greater_eq ( data = forest_fire , var1 = month , val = -12.295993286284173 )"
scatterplot between month and area in forest_fire data base,"scatterplot ( data = forest_fire , var1 = month , var2 = area )"
sum of day in dataset forest_fire,"summation ( data = forest_fire , var1 = day )"
average of the in df forest_fire,mean ( data = forest_fire )
Number of info where day bigger than or equal to 9.864153429069816 in dataset forest_fire,"greater_eq ( data = forest_fire , var1 = day , val = 9.864153429069816 )"
cor between day and DMC in forest_fire df,"corr ( data = forest_fire , var1 = day , var2 = DMC )"
standard deviation of FFMC in data forest_fire,"std ( data = forest_fire , var1 = FFMC )"
summary of the in df forest_fire,describe ( data = forest_fire )
How many info where FFMC larger than or same as 68.03170184019442 in forest_fire df,"greater_eq ( data = forest_fire , var1 = FFMC , val = 68.03170184019442 )"
corr between FFMC and day in data forest_fire,"corr ( data = forest_fire , var1 = FFMC , var2 = day )"
sparsity of the DMC in forest_fire,"std ( data = forest_fire , var1 = DMC )"
spans of in forest_fire data base,ranges ( data = forest_fire )
How many info  DMC higher than or same as -4.103067341972988 in data forest_fire,"greater_eq ( data = forest_fire , var1 = DMC , val = -4.103067341972988 )"
