"utterance","targets"
"What is the correlation between temperature and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How correlated is temperature from feeling temperature? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Give me the correlation between temperature and feeling temperature. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the linear model of temperature predicting humidity ?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the regression model of temperature predicting humidity? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the regression equation of temperature predicting humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Given that temperature is 12 predict what the value of humidity would be.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity when the temperature is 12? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"When the temperature is 12, what is the value of humidity? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature of the Weather History dataset?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the average temperature of the dataset is?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the total mean temperature.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature of the Weather History dataset?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the temperature was on the coldest day?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"How cold did it get based on the dataset?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature of the Weather History dataset?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the temperature was on the hottest day?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"How hot did it get based on the dataset?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Describe the relationship of temperature and feeling temperature based on their correlation.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me the numeric correlation value of temperature and feeling temperature.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Create a linear model of humidity through temperature in the Weather History data frame.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Describe the relationship of each variable in the Weather History data frame by creating a linear model.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you tell me difference in relationship of humidity and temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Predict the the linear model when the temperature is at 12 degrees.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Find the temperature linear model at 12 degrees.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Describe the linear model at temp = 12 degrees by using prediction.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the mean of the temperatures in the data WeatherHistory?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the average temperature of the data WeatherHistory?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the mean temperature of the data WeatherHistory.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum of the temperatures in the data WeatherHistory?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the lowest temperature of the data WeatherHistory?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the minimum temperature of the data WeatherHistory.","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum of the temperatures in the data WeatherHistory?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the highest recorded temperature of the data WeatherHistory?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the maximum recorded temperature of the data WeatherHistory.","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Calculate the correlation value between the variables temperature and feeling_temperature.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the correlation between the variables temperature and feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Can you give the correlation value between the variables temperature and feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Fit a linear model between humidity and temperature. ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Create a regression model of temperature on humidity.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you create a linear model of temperature on humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Calculate the  μ̂ , β̂ 1, and β̂ 2 using the predict function and model described in the previous question.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Can you calculate the predicted values for the model described in the previous question?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Please give the predicted values for the model described in the previous question.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the average temperature? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the mean temperature? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the temperature on any average day?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum temperature? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the hottest temperature?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the highest temperature degree. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the coldest temperature?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the lowest temperature degree. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the relationship b/w temperature and feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How does temperature influence feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Does temperature have an affect on feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What's the relationship b/w temperature and humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How does temperature influence humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Does temperature have an affect on humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the humidity when temperature is 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Temperature is 12 and humidity is what?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Give me the expected humidity when temperature is 12. ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the average temperature. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the average temperature. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the highest temperature value. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the highest temperature value. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the lowest temperature value. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the lowest temperature value. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Find the correlation between temperature and feeling temperature. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me the correlation between temperature and feeling temperature. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How does humidity respond to a change in temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How strong is the linear relationship between humidity and temperature?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can a change in temperature predict a change in humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Predict the humidity level when the temperature is 12. ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity when the temperature is 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What would the humidity be given a temperature of 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the average temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperatures, what is the mean?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the mean temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the average temperature.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the average temperature.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the highest?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature listed?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Which listed temperature is the greatest?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the highest temperature value.","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the highest temperature value?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the lowest?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature listed?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Which listed temperature is the least?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the lowest temperature value.","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the lowest temperature value?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the actual temperature and feeling temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Give me the actual temperature and feeling temperature.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me what it feels like outside, and what's the actual temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What temperature does it feel like outside, and tell me the actual temperature.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Is the feeling temperature higher than the actual temperature (and vice-versa)?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"By how much is the feeling temperature higher than the actual temperature (and vice-versa)?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What's the relationship between temperature and humidity? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How correlated are temperature and humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How are temperature and humidity correlated? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"To what extent are temperature and humidity? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What's the humidity at 12 degrees?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what's the predicted humidity?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity at the current temperature?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity at the predicted temperature at 12 pm?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what will the humidity be?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what is the average temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what's the mean temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"how is the temperature usually?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the typical temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"how hot does it get?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"how hot has it ever gotten?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the highest temperature recorded?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"how cold does it get?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"what's the coldest it's ever been?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the lowest temperature recorded?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"does the weather feel like what was forecasted?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"to what extent does the temperature forecasted match the actual temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"is the temperature accurate to how it feels?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"what is the relationship between temperature and humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"how does temperature affect humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"is temperature correlated with humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"when it is 12 degrees Celsius, what will the humidity be?  ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what will the humidity be when it's 12 degrees celsius?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"can I have the forecasted humidity level for when it's 12 degrees? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what is the average temperature?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the highest temperature recorded?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the lowest temperature recorded?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"is there a correlation beteeen temperature and feeling_temperature?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"is there a linear relationship between temperature and humidity?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"what is your prediction of humidity when the temperature is 12","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What’s the average temperature today?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Could you check the average temperature today?","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What’s the highest temperature today?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"How high does the temperature go?","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What’s the lowest temperature today?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What’s the coldest temperature today?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between _ and _?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What’s the relationship between _ and _?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Do you see any correlation between _ and _?","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the linear relationship of _ and _?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Do you notice any linear relationship between _ and _?","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Look for a linear relationship between _ and _.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is your prediction of humidity when temperature is 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Predict the humidity when temperature is 12.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What do you think the humidity should be when the temperature is 12?","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
average of sepal_length in iris dataset,"mean ( data = iris , var1 = sepal_length )"
highest of sepal_length in iris df,"maximum ( data = iris , var1 = sepal_length )"
standard deviation of the sepal_length in iris df,"std ( data = iris , var1 = sepal_length )"
range of sepal_length in iris,"ranges ( data = iris , var1 = sepal_length )"
largest of the sepal_length in iris dataset,"maximum ( data = iris , var1 = sepal_length )"
maximum of the sepal_length in iris df,"maximum ( data = iris , var1 = sepal_length )"
largest of sepal_length in iris data,"maximum ( data = iris , var1 = sepal_length )"
range of sepal_length in iris df,"ranges ( data = iris , var1 = sepal_length )"
highest of the sepal_length in iris df,"maximum ( data = iris , var1 = sepal_length )"
quantile of the sepal_length in iris dataset,"quantile ( data = iris , var1 = sepal_length )"
correlation of the sepal_length in iris dataset,"corr ( data = iris , var1 = sepal_length )"
var of sepal_length in iris df,"variance ( data = iris , var1 = sepal_length )"
span of sepal_length in iris dataset,"ranges ( data = iris , var1 = sepal_length )"
min of the sepal_length in iris,"minimum ( data = iris , var1 = sepal_length )"
variance of the sepal_length in iris,"variance ( data = iris , var1 = sepal_length )"
max of sepal_length in iris dataset,"maximum ( data = iris , var1 = sepal_length )"
average of the sepal_length in iris data,"mean ( data = iris , var1 = sepal_length )"
minimum of the sepal_length in iris df,"minimum ( data = iris , var1 = sepal_length )"
cor of the sepal_length in iris data,"corr ( data = iris , var1 = sepal_length )"
average of the sepal_length in iris,"mean ( data = iris , var1 = sepal_length )"
spans of iris,ranges ( data = iris )
How many entries  sepal_length is 37.59143451430765 dataset,"equal ( data = iris , var1 = sepal_length , val = 37.59143451430765 )"
How many rows where sepal_length  <=  -57.06342586601014 ,"less_eq ( data = iris , var1 = sepal_length , val = -57.06342586601014 )"
Number of entries  sepal_length bigger than 41.766415751667836 ,"greater ( data = iris , var1 = sepal_length , val = 41.766415751667836 )"
How many data with sepal_length is -34.89901814401004 df,"equal ( data = iris , var1 = sepal_length , val = -34.89901814401004 )"
How many rows with sepal_length equal to -85.32791977057511 data,"equal ( data = iris , var1 = sepal_length , val = -85.32791977057511 )"
Number of rows where sepal_length bigger than or equal to 95.17699395224093 data,"greater_eq ( data = iris , var1 = sepal_length , val = 95.17699395224093 )"
How many data with sepal_length less than or equal to -78.12213370274226 ,"less_eq ( data = iris , var1 = sepal_length , val = -78.12213370274226 )"
How many entries with sepal_length  >=  44.04112293658892 df,"greater_eq ( data = iris , var1 = sepal_length , val = 44.04112293658892 )"
How many data with sepal_length larger than or equal to -44.48675601467589 data,"greater_eq ( data = iris , var1 = sepal_length , val = -44.48675601467589 )"
How many info where sepal_length is 88.15556988191705 data,"equal ( data = iris , var1 = sepal_length , val = 88.15556988191705 )"
Number of data  sepal_length greater than -15.849099137854907 dataset,"greater ( data = iris , var1 = sepal_length , val = -15.849099137854907 )"
Number of rows  sepal_length greater than or same as 3.976647684795026 data,"greater_eq ( data = iris , var1 = sepal_length , val = 3.976647684795026 )"
Number of rows with sepal_length greater than or equal to -30.340752535243794 df,"greater_eq ( data = iris , var1 = sepal_length , val = -30.340752535243794 )"
Number of info with sepal_length greater than or equal to 80.60176404185532 ,"greater_eq ( data = iris , var1 = sepal_length , val = 80.60176404185532 )"
How many rows  sepal_length lower than or same as -14.11250066858922 ,"less_eq ( data = iris , var1 = sepal_length , val = -14.11250066858922 )"
Number of entries  sepal_length bigger than or same as -92.5062580072443 ,"greater_eq ( data = iris , var1 = sepal_length , val = -92.5062580072443 )"
scatter plot of sepal_length and petal_width in iris,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_width )"
scatter plot between sepal_length and petal_length in iris df,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_length )"
scatterplot of sepal_length with petal_length in iris df,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_length )"
cor of sepal_length and petal_width in iris data,"corr ( data = iris, var1 = sepal_length , var2 = petal_width )"
scatterplot between sepal_length with petal_length in iris,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_length )"
correlation between sepal_length and petal_length in iris,"corr ( data = iris, var1 = sepal_length , var2 = petal_length )"
scatterplot between sepal_length and petal_length in iris,"scatterplot ( data = iris, var1 = sepal_length , var2 = petal_length )"
correlation between sepal_length and sepal_width in iris df,"corr ( data = iris, var1 = sepal_length , var2 = sepal_width )"
store iris dataset  in {data}_data,load ( data = iris )
load iris df  and store in ,load ( data = iris )
store iris dataset  and store in variable a,load ( data = iris )
load iris dataset  and store in {data}_data,load ( data = iris )
ranges of sepal_width in iris,"ranges ( data = iris , var1 = sepal_width )"
sparsity of sepal_width in iris dataset,"variance ( data = iris , var1 = sepal_width )"
min of the sepal_width in iris data,"minimum ( data = iris , var1 = sepal_width )"
sum of sepal_width in iris df,"summation ( data = iris , var1 = sepal_width )"
quantity of the sepal_width in iris,"summation ( data = iris , var1 = sepal_width )"
var of the sepal_width in iris dataset,"variance ( data = iris , var1 = sepal_width )"
ranges of the sepal_width in iris df,"ranges ( data = iris , var1 = sepal_width )"
span of sepal_width in iris,"ranges ( data = iris , var1 = sepal_width )"
max of the sepal_width in iris dataset,"maximum ( data = iris , var1 = sepal_width )"
sum of sepal_width in iris,"summation ( data = iris , var1 = sepal_width )"
spans of the sepal_width in iris data,"ranges ( data = iris , var1 = sepal_width )"
variance of sepal_width in iris dataset,"variance ( data = iris , var1 = sepal_width )"
largest of sepal_width in iris dataset,"maximum ( data = iris , var1 = sepal_width )"
span of sepal_width in iris,"ranges ( data = iris , var1 = sepal_width )"
hist of sepal_width in iris data,"histogram ( data = iris , var1 = sepal_width )"
smallest of the sepal_width in iris dataset,"minimum ( data = iris , var1 = sepal_width )"
hist of the sepal_width in iris data,"histogram ( data = iris , var1 = sepal_width )"
ranges of sepal_width in iris dataset,"ranges ( data = iris , var1 = sepal_width )"
boxplot of the sepal_width in iris data,"boxplot ( data = iris , var1 = sepal_width )"
smallest of sepal_width in iris,"minimum ( data = iris , var1 = sepal_width )"
cor of iris,corr ( data = iris )
How many entries with sepal_width  <=  58.16523658899703 ,"less_eq ( data = iris , var1 = sepal_width , val = 58.16523658899703 )"
Number of info with sepal_width <= -91.60365788563942 df,"less_eq ( data = iris , var1 = sepal_width , val = -91.60365788563942 )"
How many entries  sepal_width  >  90.4800226825759 dataset,"greater ( data = iris , var1 = sepal_width , val = 90.4800226825759 )"
Number of data where sepal_width bigger than 3.746177952910415 data,"greater ( data = iris , var1 = sepal_width , val = 3.746177952910415 )"
How many rows where sepal_width >= -5.617156840894211 df,"greater_eq ( data = iris , var1 = sepal_width , val = -5.617156840894211 )"
Number of rows with sepal_width less than or same as -10.509776630780166 dataset,"less_eq ( data = iris , var1 = sepal_width , val = -10.509776630780166 )"
How many entries  sepal_width  <=  -28.70069199750003 data,"less_eq ( data = iris , var1 = sepal_width , val = -28.70069199750003 )"
Number of info with sepal_width <= -78.46401447322148 df,"less_eq ( data = iris , var1 = sepal_width , val = -78.46401447322148 )"
How many data  sepal_width smaller than or equal to 38.606175209832514 df,"less_eq ( data = iris , var1 = sepal_width , val = 38.606175209832514 )"
Number of entries where sepal_width smaller than or same as 60.58137458772097 data,"less_eq ( data = iris , var1 = sepal_width , val = 60.58137458772097 )"
Number of info with sepal_width smaller than or equal to -38.93573239386734 data,"less_eq ( data = iris , var1 = sepal_width , val = -38.93573239386734 )"
How many entries with sepal_width >= -52.987161658078485 df,"greater_eq ( data = iris , var1 = sepal_width , val = -52.987161658078485 )"
Number of data with sepal_width is -75.7229245776308 dataset,"equal ( data = iris , var1 = sepal_width , val = -75.7229245776308 )"
How many rows  sepal_width < 5.238211137474579 ,"less ( data = iris , var1 = sepal_width , val = 5.238211137474579 )"
Number of entries with sepal_width > -16.238479276550137 dataset,"greater ( data = iris , var1 = sepal_width , val = -16.238479276550137 )"
Number of entries with sepal_width less than or same as -15.847839881498388 data,"less_eq ( data = iris , var1 = sepal_width , val = -15.847839881498388 )"
corr of sepal_width with sepal_length in iris data,"corr ( data = iris, var1 = sepal_width , var2 = sepal_length )"
scatterplot between sepal_width and petal_width in iris dataset,"scatterplot ( data = iris, var1 = sepal_width , var2 = petal_width )"
cor of sepal_width with sepal_length in iris dataset,"corr ( data = iris, var1 = sepal_width , var2 = sepal_length )"
correlation between sepal_width with sepal_length in iris dataset,"corr ( data = iris, var1 = sepal_width , var2 = sepal_length )"
corr of sepal_width with sepal_length in iris df,"corr ( data = iris, var1 = sepal_width , var2 = sepal_length )"
scatterplot between sepal_width and petal_length in iris df,"scatterplot ( data = iris, var1 = sepal_width , var2 = petal_length )"
