"utterance","target"
"What's the relationship between humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you make a relationship between humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What's the linear regression of humidity on temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you predict from the model what humidity is associated with temperature 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the predicted humidity whenm temperature is 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the predicted value of humidity when temperature is 12 degrees celsius in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the mean temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the mean of temperature in the WeatherHistory dataset.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me what the mean of the temperature is in the WeatherHistory dataset. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum  of temperature in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum temperature entry in the WeatherHistory dataset?","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me what the minimum temperature is in the WeatherHistory dataset.   ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum of temperature in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum temperature entry in the WeatherHistory dataset?  ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the maximum of temperature in the WeatherHistory dataset.","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How correlated is temperature from feeling_temperature in the WeatherHistory dataset?  ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Give me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the linear model of temperature predicting humidity  in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the regression model of temperature predicting humidity in the WeatherHistory dataset?  ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the regression equation of temperature predicting humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Given that temperature is 12 predict what the value of humidity would be in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity when the temperature is 12 in the WeatherHistory dataset?  ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"When the temperature is 12, what is the value of humidity in the WeatherHistory dataset?  ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature of the Weather History dataset in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the average temperature of the dataset is in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the total mean temperature in the WeatherHistory dataset.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature of the Weather History dataset in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the temperature was on the coldest day in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"How cold did it get based on the dataset in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature of the Weather History dataset in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you tell me what the temperature was on the hottest day in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"How hot did it get based on the dataset in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Describe the relationship of temperature and feeling_temperature based on their correlation in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me the numeric correlation value of temperature and feeling_temperature in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Create a linear model of humidity through temperature in the Weather History data frame in the WeatherHistory dataset.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Describe the relationship of humidity and temperature variable in the Weather History data frame by creating a linear model","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you tell me difference in relationship of humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Predict the the linear model when the temperature is at 12 degrees in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Find the temperature linear model at 12 degrees in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Describe the linear model at temp = 12 degrees by using prediction in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the mean of the temperature in the data WeatherHistory ? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the average temperature of the data WeatherHistoryt? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the mean temperature of the data WeatherHistory.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the minimum of the temperature in the data WeatherHistory? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the lowest temperature of the data WeatherHistory? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the minimum temperature of the data WeatherHistory.","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum of the temperature in the data WeatherHistory ? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Can you give me the highest recorded temperature of the data WeatherHistory? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the maximum recorded temperature of the data WeatherHistory.","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Calculate the correlation value between the variables temperature and  in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the correlation between the variables temperature and  in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Can you give the correlation value between the variables temperature and  in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Fit a linear model between humidity and temperature in the WeatherHistory dataset. ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Create a regression model of temperature on humidity in the WeatherHistory dataset.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can you create a linear model of temperature on humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Calculate the  humidity using the predict function and model when temperature is 12 described in the previous question in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Can you calculate the predicted values for the model described in the previous question in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Please give the predicted values for the model described in the previous question in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the average temperature in the WeatherHistory dataset?  ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the mean temperature in the WeatherHistory dataset?  ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the temperature on any average day in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the maximum temperature in the WeatherHistory dataset?  ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the hottest temperature in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the highest temperature degree in the WeatherHistory dataset. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature in the WeatherHistory dataset?  ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the coldest temperature in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the lowest temperature degree in the WeatherHistory dataset. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the relationship b/w temperature and  in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How does temperature influence  in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Does temperature have an affect on feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What's the relationship b/w temperature and humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How does temperature influence humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Does temperature have an affect on humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is the humidity when temperature is 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Temperature is 12 and humidity is what in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Give me the expected humidity when temperature is 12 in the WeatherHistory dataset. ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the average temperature in the WeatherHistory dataset. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the average temperature in the WeatherHistory dataset. ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the highest temperature value in the WeatherHistory dataset. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the highest temperature value in the WeatherHistory dataset. ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Find the lowest temperature value in the WeatherHistory dataset. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the lowest temperature value in the WeatherHistory dataset. ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Find the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"How does humidity respond to a change in temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How strong is the linear relationship between humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Can a change in temperature predict a change in humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Predict the humidity level when the temperature is 12 in the WeatherHistory dataset. ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity when the temperature is 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What would the humidity be given a temperature of 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What's the average temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature, what is the mean in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the mean temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Give the average temperature in the WeatherHistory dataset.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Tell me the average temperature in the WeatherHistory dataset.","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the highest in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature listed in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Which listed temperature is the greatest in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the highest temperature value in the WeatherHistory dataset.","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the highest temperature value in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"Of the listed temperature values, which is the lowest in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature listed in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Which listed temperature is the least in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"Give me the lowest temperature value in the WeatherHistory dataset.","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What's the lowest temperature value in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the actual temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Give me the actual temperature and feeling_temperature in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Tell me what feeling_temperature outside, and what's the actual temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What temperature is feeling_temperature outside, and tell me the actual temperature in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"By how much is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What's the relationship between temperature and humidity in the WeatherHistory dataset?  ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How correlated are temperature and humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"How are temperature and humidity correlated in the WeatherHistory dataset?  ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"To what extent are temperature and humidity in the WeatherHistory dataset?  ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What's the humidity at 12 degrees in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what's the predicted humidity in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity at the current temperature in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the humidity at the predicted temperature at 12 pm in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"At 12 degrees, what will the humidity be in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what is the average temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what's the mean temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"how is the temperature usually in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the typical temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"how hot does it get in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"how hot has it ever gotten in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the highest temperature recorded in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"how cold does it get in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"what's the coldest it's ever been in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the lowest temperature recorded in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"does feeling_temperature like temperature forecasted in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"to what extent does the feeling_temperature forecasted match the actual temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"is the temperature accurate to feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"what is the relationship between temperature and humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"how does temperature affect humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"is temperature correlated with humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"when it is 12 degrees Celsius, what will the humidity be in the WeatherHistory dataset?   ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what will the humidity be when it's 12 degrees celsius in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"can I have the forecasted humidity level for when it's 12 degrees in the WeatherHistory dataset?  ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"what is the average temperature in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the highest temperature recorded in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"what is the lowest temperature recorded in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"is there a correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"is there a linear relationship between temperature and humidity in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"what is your prediction of humidity when the temperature is 12 in WeatherHistory data.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What is the average temperature in the WeatherHistory dataset?  ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the average temperature today in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"Could you check the average temperature today in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature value in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the highest temperature today in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"How high does the temperature go in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature value in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the lowest temperature today in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the coldest temperature today in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'Temperature' )"
"What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the relationship between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"Do you see any correlation between temperature and feeling_temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'Temperature', var2 = 'FeelingTemperature' )"
"What is the linear relationship of  humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Do you notice any linear relationship between humidity and temperature in the WeatherHistory dataset? ","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"Look for a linear relationship between humidity and temperature in the WeatherHistory dataset.","lr ( data = WeatherHistory, var1 = 'Temperature', var2 = 'Humidity' )"
"What is your prediction of humidity when temperature is 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"Predict the humidity when temperature is 12 in the WeatherHistory dataset.","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
"What do you think the humidity should be when the temperature is 12 in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'Temperature' : 12 } ) )"
highest of sepal_length in iris data base,"maximum ( data = iris , var1 = sepal_length )"
correlation of the sepal_length in iris data base,"corr ( data = iris , var1 = sepal_length )"
var of the sepal_length in iris data,"variance ( data = iris , var1 = sepal_length )"
sparsity of the sepal_length in iris df,"std ( data = iris , var1 = sepal_length )"
aggregate of sepal_length in data iris,"summation ( data = iris , var1 = sepal_length )"
deviation of the sepal_length in iris data,"std ( data = iris , var1 = sepal_length )"
range of the sepal_length in iris,"ranges ( data = iris , var1 = sepal_length )"
typical of sepal_length in iris data base,"mean ( data = iris , var1 = sepal_length )"
smallest of the sepal_length in iris dataset,"minimum ( data = iris , var1 = sepal_length )"
range of the sepal_length in df iris,"ranges ( data = iris , var1 = sepal_length )"
boxplot of sepal_length in iris dataset,"boxplot ( data = iris , var1 = sepal_length )"
spans of sepal_length in iris,"ranges ( data = iris , var1 = sepal_length )"
correlation of sepal_length in dataset iris,"corr ( data = iris , var1 = sepal_length )"
boxplot of the sepal_length in df iris,"boxplot ( data = iris , var1 = sepal_length )"
minimum of sepal_length in iris dataset,"minimum ( data = iris , var1 = sepal_length )"
cor of sepal_length in iris,"corr ( data = iris , var1 = sepal_length )"
ranges of sepal_length in iris data,"ranges ( data = iris , var1 = sepal_length )"
span of the sepal_length in iris dataset,"ranges ( data = iris , var1 = sepal_length )"
highest of sepal_length in df iris,"maximum ( data = iris , var1 = sepal_length )"
average of sepal_length in data iris,"mean ( data = iris , var1 = sepal_length )"
mean of sepal_length in iris,"mean ( data = iris , var1 = sepal_length )"
quantity of the sepal_length in iris data base,"summation ( data = iris , var1 = sepal_length )"
hist of sepal_length in iris,"histogram ( data = iris , var1 = sepal_length )"
cor of the sepal_length in iris data base,"corr ( data = iris , var1 = sepal_length )"
corr of the sepal_length in df iris,"corr ( data = iris , var1 = sepal_length )"
maximum of the sepal_length in dataset iris,"maximum ( data = iris , var1 = sepal_length )"
std of sepal_length in df iris,"std ( data = iris , var1 = sepal_length )"
hist of sepal_length in iris data base,"histogram ( data = iris , var1 = sepal_length )"
std of the sepal_length in iris data,"std ( data = iris , var1 = sepal_length )"
ranges of the sepal_length in df iris,"ranges ( data = iris , var1 = sepal_length )"
spans of the iris,ranges ( data = iris )
How many data where sepal_length higher than or equal to -23.32032160869207 ,"greater_eq ( data = iris , var1 = sepal_length , val = -23.32032160869207 )"
How many entries where sepal_length  <=  30.110156986886494 ,"less_eq ( data = iris , var1 = sepal_length , val = 30.110156986886494 )"
How many rows with sepal_length higher than or equal to -97.64895035592636 dataset,"greater_eq ( data = iris , var1 = sepal_length , val = -97.64895035592636 )"
Number of info  sepal_length less than or same as -81.13470155032796 data,"less_eq ( data = iris , var1 = sepal_length , val = -81.13470155032796 )"
Number of info  sepal_length higher than or equal to -35.104093563388346 dataset,"greater_eq ( data = iris , var1 = sepal_length , val = -35.104093563388346 )"
How many info where sepal_length lower than or same as -35.3867102989004 data,"less_eq ( data = iris , var1 = sepal_length , val = -35.3867102989004 )"
Number of data  sepal_length bigger than or same as 79.54709436566051 dataset,"greater_eq ( data = iris , var1 = sepal_length , val = 79.54709436566051 )"
How many info where sepal_length smaller than or equal to 81.83068865040752 df,"less_eq ( data = iris , var1 = sepal_length , val = 81.83068865040752 )"
How many info  sepal_length == -46.368408662263725 ,"equal ( data = iris , var1 = sepal_length , val = -46.368408662263725 )"
How many data where sepal_length greater than -20.82827152710935 dataset,"greater ( data = iris , var1 = sepal_length , val = -20.82827152710935 )"
How many info with sepal_length  <=  -60.2634841346829 ,"less_eq ( data = iris , var1 = sepal_length , val = -60.2634841346829 )"
Number of data  sepal_length == -70.14063550089726 dataset,"equal ( data = iris , var1 = sepal_length , val = -70.14063550089726 )"
How many info  sepal_length  =  4.5506881463334565 df,"equal ( data = iris , var1 = sepal_length , val = 4.5506881463334565 )"
How many rows where sepal_length larger than or equal to 51.91547695762256 dataset,"greater_eq ( data = iris , var1 = sepal_length , val = 51.91547695762256 )"
