"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"I",175,130,55,31.5,10.5,6.5,12.5,5
"I",170,130,95,30,13,8,10,4
"M",590,475,145,1053,441.5,262,325,15
"F",605,500,185,1118.5,469,258.5,335,9
"F",635,515,190,1371.5,506.5,305,450,10
"F",605,485,160,1056.5,370,235.5,355,10
"F",565,450,135,988.5,387,149.5,310,12
"M",515,405,130,722,320,131,210,10
"F",575,460,190,994,392,242.5,340,13
"M",645,485,215,1514,546,261.5,635,16
"F",580,455,170,907.5,374,213.5,285,13
"F",575,460,165,1124,298.5,178.5,440,13
"M",605,465,165,1056,421.5,247.5,340,13
"F",605,485,160,1222,530,257.5,280,13
"M",610,485,175,1244.5,544,297,345,12
"F",725,560,210,2141,650,398,1005,18
"F",650,545,230,1752,560.5,289.5,815,16
"M",725,570,190,2550,1070.5,483,725,14
"F",725,575,175,2124,765,451.5,850,20
"F",680,570,205,1842,625,408,650,20
"M",705,560,220,1981,817.5,308.5,760,14
"F",680,515,175,1618.5,512.5,409,620,12
"M",695,550,215,1956.5,712.5,541,590,14
"F",530,395,145,775,308,169,255,7
"M",525,435,155,1065,486,233,285,8
"F",520,405,115,776,320,184.5,220,8
"I",235,160,40,48,18.5,18,15,5
"I",360,260,90,178.5,64.5,37,75,7
"I",315,210,60,125,60,37.5,35,5
"I",315,245,85,143.5,53,47.5,50,8
"I",225,160,45,46.5,25,15,15,4
"M",580,475,150,970,385,216.5,350,11
"M",570,480,180,939.5,399,200,295,14
"M",640,510,175,1368,515,266,570,21
"F",560,450,160,1023.5,429,268,300,10
"F",620,475,175,1016.5,435.5,214,325,10
"F",645,510,200,1567.5,621,367,460,12
"M",620,490,190,1218,545.5,296.5,355,13
"F",630,480,150,1052.5,392,336,285,12
"F",630,500,185,1383,540,331.5,380,10
"F",630,480,160,1199,526.5,335,315,11
"F",585,460,170,932.5,365,271,290,9
"M",615,480,180,1159.5,484.5,216.5,325,13
"M",610,485,170,1022.5,419,240.5,360,12
"M",580,450,150,927,276,181.5,360,14
"I",355,275,85,220,92,60,150,8
"F",510,400,140,814.5,459,196.5,195,10
"M",500,405,155,772,346,153.5,245,12
"F",505,410,150,644,285,145,210,11
"M",640,500,185,1303.5,444.5,263.5,465,16
"M",560,450,160,922,432,178,260,15
"M",585,460,185,922,363.5,213,285,10
"F",450,345,120,416.5,165.5,95,135,9
"M",500,400,165,825,254,205,285,13
"F",500,400,145,630,234,146.5,230,12
"F",530,435,170,815.5,298.5,155,275,13
"M",420,335,115,369,171,71,120,8
"F",440,340,140,482,186,108.5,160,9
"I",400,300,110,315,109,67,120,9
"I",435,340,110,379.5,149.5,85,120,8
"F",525,415,170,832.5,275.5,168.5,310,13
"I",370,280,95,265.5,122,52,80,7
"F",490,365,145,634.5,199.5,162.5,220,10
"M",335,250,90,181,75.5,41.5,60,7
"F",415,325,105,380,159.5,78.5,120,12
"M",500,405,140,615.5,241,135.5,205,9
"F",485,395,160,660,247.5,128,235,14
"M",550,405,140,802.5,244,163.5,255,10
"M",450,350,130,460,174,111,135,8
"I",405,300,120,324,126.5,70,110,7
"M",470,360,135,501,166.5,115,165,10
"F",415,305,130,320,130.5,75.5,105,8
"F",445,325,125,455,178.5,112.5,140,9
"F",470,350,145,517.5,187,123.5,180,11
"F",490,375,150,575.5,220,144,190,9
"F",445,355,150,485,181,125,155,11
"I",425,380,105,326.5,128.5,78.5,100,10
"F",500,370,135,450,171.5,105.5,155,9
"F",390,290,125,305.5,121,82,90,7
"I",365,270,85,205,78,48.5,70,7
"F",580,465,165,1101.5,404,209.5,350,11
"F",530,415,160,783,293.5,158,245,15
"M",555,445,135,836,336,162.5,275,13
"M",565,440,175,902.5,310,193,325,14
"M",625,505,215,1445.5,496,287,435,22
"I",275,215,75,115.5,48.5,29,35,7
"I",440,350,135,435,181.5,83,125,12
"I",295,225,80,124,48.5,32,40,9
"I",75,55,10,2,1,0.5,1.5,1
"I",130,100,30,13,4.5,3,4,3
"I",110,90,30,8,2.5,2,3,3
"I",160,120,35,21,7.5,4.5,5,5
"M",565,425,160,942.5,349.5,218.5,275,17
"I",270,200,70,100,34,24.5,35,5
"I",230,175,65,64.5,26,10.5,20,5
"I",300,230,80,127.5,43.5,26.5,40,8
"I",330,255,85,165.5,63,39,60,8
"I",350,260,85,174,70.5,34.5,60,10
"I",320,245,80,158.5,63.5,32.5,50,13
"I",360,275,85,197.5,74.5,41.5,70,9
"I",305,245,75,156,67.5,38,45,7
"I",345,270,110,213.5,82,54.5,70,7
"I",330,250,105,171.5,65.5,35,60,7
"M",590,470,180,1123.5,420.5,280.5,360,13
"F",595,455,155,1060.5,513.5,216.5,300,12
"F",575,460,185,1094,448.5,217,345,15
"M",600,495,165,1241.5,485,277.5,340,15
"M",560,450,175,1011,383.5,206.5,370,15
"M",560,450,185,1070,380.5,175,410,19
"M",545,460,160,897.5,341,165.5,345,10
"F",635,505,170,1415,605,297,365,15
"F",590,475,160,1101.5,477.5,255.5,295,13
"F",540,475,155,928,394,194,260,11
"F",570,440,125,865,367.5,172.5,270,12
"M",530,420,165,894.5,319,239,245,11
"I",245,195,60,95,44.5,24.5,26,4
"M",270,200,80,120.5,46.5,28,40,6
"F",460,380,130,639,300,152.5,160,11
"M",520,450,150,895,361.5,186,235,14
"M",350,275,110,292.5,122.5,63.5,90.5,8
"M",470,390,150,635.5,218.5,88.5,255,9
"F",450,360,125,499.5,203.5,100,170,13
"F",640,525,215,1779,453.5,285.5,550,22
"M",590,500,200,1187,412,270.5,370,16
"M",620,485,205,1219,387.5,250.5,385,14
"M",630,505,225,1525,560,333.5,450,15
"M",630,515,155,1259,410.5,197,410,13
"M",655,540,215,1844,742.5,327,585,22
"F",660,530,185,1348.5,493,245,490,12
"M",610,500,240,1642,532,334.5,690,18
"M",635,525,205,1484,550,311.5,430,20
"F",515,425,135,712,266.5,160.5,250,11
"F",535,415,185,841.5,314,158.5,300,15
"I",360,285,105,241.5,91.5,57,75,7
"F",455,355,120,449.5,177,104,150,9
"M",485,395,140,629.5,228.5,127,225,14
"M",515,380,175,956.5,325,158,310,14
"F",535,415,170,879,295,196.5,285,10
"M",530,435,155,699,288,159.5,205,10
"F",495,400,155,644.5,242,132.5,205,17
"M",440,355,125,477.5,132,81.5,190,9
"F",535,435,160,810.5,315.5,179.5,240,10
"M",540,435,180,996,383.5,226,325,17
"F",565,505,210,1276.5,501,279,355,12
"M",610,475,165,1116,428,220.5,315,15
"F",565,455,175,1013,342,207,350,19
"M",600,495,195,1057.5,384,190,375,26
"I",295,215,85,128,49,34,40,6
"I",275,205,75,110.5,45,28.5,35,6
"I",280,210,85,106.5,39,29.5,30,4
"M",490,395,140,549,221.5,127.5,150,11
"M",370,280,105,234,90.5,58.5,75,9
"F",405,305,95,348.5,145.5,89.5,100,9
"F",540,435,175,892,322,174,335,13
"M",370,280,100,252,106.5,59.5,74,8
"M",360,270,100,217,88.5,49.5,71.5,6
"F",470,360,130,472,182,114,150,10
"I",200,145,60,37,12.5,9.5,11,4
"I",165,120,30,21.5,7,5,5,3
"M",645,515,240,1541.5,471,369,535,13
"M",550,410,125,760.5,250.5,163.5,195,14
"M",570,435,145,905.5,392.5,235.5,275,10
"F",630,485,190,1243.5,463.5,305.5,390,21
"M",560,440,140,971,443,204.5,265,14
"M",595,455,195,1330.5,459.5,323.5,345,19
"F",620,470,200,1225.5,381,270,435,23
"M",630,485,175,1300,433.5,294.5,460,23
"I",450,355,110,458.5,194,67,140,8
"F",635,535,190,1242,576,247.5,390,14
"M",450,350,100,367.5,146.5,101.5,120,10
"F",580,455,155,836.5,315,138.5,320,18
"I",330,255,95,172,66,25.5,60,6
"I",265,210,60,96.5,42.5,22,30,5
"I",190,145,40,38,16.5,6.5,15,4
"M",385,310,100,284.5,106.5,75,100,11
"I",265,205,70,105.5,39,41,35,5
"M",335,265,105,222,93.5,56,75,7
"I",355,275,90,251,97,53,80,7
"I",320,255,100,175.5,73,41.5,65,7
"M",510,400,130,643.5,270,166.5,205,12
"M",360,295,105,241,86.5,53,95,8
"I",360,280,90,225.5,88.5,40,90,8
"M",500,380,155,595.5,213.5,161,200,12
"F",400,325,120,318.5,134,56.5,95,8
"I",300,220,80,121,47.5,42,35,5
"I",235,175,40,70.5,33.5,15,20,5
"F",740,600,195,1974,598,408.5,710,16
"M",620,465,190,1341.5,570.5,317.5,355,11
"M",600,475,190,1087.5,403,265.5,325,14
"M",590,450,185,1283,473,276,425,16
"M",620,475,185,1325,604.5,325,330,13
"F",565,450,195,1003.5,406,250.5,285,15
"M",575,455,145,1165,581,227.5,300,14
"F",620,510,205,1347.5,477.5,256.5,480,14
"M",620,465,185,1274,579,306.5,320,12
"F",505,375,180,568,232.5,149.5,170,12
"F",460,425,155,746,300.5,152,240,8
"M",490,390,140,707,279.5,218.5,180,13
"F",525,420,160,756,274.5,173,275,9
"I",340,260,80,200,80,55.5,55,6
"I",375,305,115,271.5,92,74,90,8
"M",610,480,150,1200,560,245.5,280,14
"F",610,495,185,1153,536,290.5,245,8
"F",585,450,170,868.5,332.5,163.5,270,22
"M",570,460,140,953.5,446.5,206.5,245,12
"M",580,455,170,930,408,259,220,9
"M",635,515,170,1275,509,286,340,16
"M",700,580,205,2130,741.5,490,580,20
"M",675,525,185,1587,693.5,336,395,13
"F",645,525,190,1808.5,703.5,388.5,395,18
"M",745,585,215,2499,926.5,472,700,17
"F",685,545,180,1768,749.5,392,485,16
"M",605,490,180,1227,480,287,350,18
"F",590,465,150,997,392,246,340,12
"F",650,525,175,1422.5,610,299.5,445,20
"F",600,480,150,1029,408.5,270.5,295,16
"F",620,500,175,1186,498.5,301.5,350,12
"M",630,515,160,1016,421.5,244,355,19
"M",580,465,145,887,440.5,165.5,265,11
"F",580,455,120,1073.5,479,273.5,265,10
"M",630,490,180,1130,458,276.5,315,12
"F",690,560,215,1719,680,299,470,17
"F",650,545,165,1566,664.5,345.5,415,16
"F",660,565,195,1760.5,692,326.5,500,16
"F",680,580,200,1787,585,453,600,19
"F",700,575,170,1310,509.5,314,420,14
"M",685,520,150,1343,463.5,292,400,13
"F",675,545,195,1734.5,684.5,369.5,605,20
"M",630,490,190,1177.5,493.5,336.5,285,11
"F",585,450,160,1077,499.5,287.5,250,10
"M",565,465,175,995,389.5,183,370,15
"F",610,495,185,1108.5,370.5,313.5,330,12
"M",605,470,180,1140.5,375.5,280.5,385,15
"M",535,420,145,791,330,189,250,10
"M",485,400,135,663,313,137,200,10
"M",470,375,120,556.5,226,122,195,12
"M",545,425,135,844.5,373,210,235,10
"F",455,370,105,492.5,216,124.5,135,9
"M",540,420,155,738.5,351.5,152,215,12
"M",460,380,135,482,207,122.5,145,10
"M",490,420,125,609,239,143.5,220,14
"I",465,375,120,471,222,119,140,9
"I",415,325,100,321.5,153.5,59.5,105,10
"M",475,375,125,593,277,115,180,10
"F",470,375,125,561.5,252,137,180,10
"I",365,295,95,250,107.5,54.5,80,9
"I",345,275,95,199.5,75.5,53.5,70,6
"I",390,310,100,302,116,64,115,11
"F",500,395,140,715.5,316.5,176,240,10
"M",470,380,145,586.5,238.5,144,185,8
"M",535,440,150,676.5,256,139,260,12
"M",585,455,150,987,435.5,207.5,310,11
"F",485,365,120,588.5,270,131,175,9
"M",515,455,135,722.5,295,162.5,235,9
"F",435,325,110,433.5,178,98.5,155,7
"F",515,415,140,693.5,311.5,152,200,10
"I",440,345,120,365,165.5,83,110,7
"F",525,440,150,842.5,368.5,198.5,240,12
"M",450,355,115,479,212.5,104.5,150,8
"M",590,485,120,911,390,182,290,16
"M",555,450,145,915,400,246,285,11
"M",570,440,95,827,339.5,221.5,235,8
"M",590,500,165,1104.5,456.5,242.5,340,15
"M",585,475,120,945,410,211.5,280,14
"F",580,460,120,993.5,462.5,238.5,280,11
"M",545,440,120,856.5,347.5,171.5,240,12
"F",605,495,170,1238.5,528,246.5,390,14
"F",620,470,140,1032.5,360.5,224,360,15
"F",630,500,170,1313.5,559.5,267,400,20
"M",630,515,165,1352,488,349,450,20
"F",630,500,155,1005,367,199,360,16
"M",545,410,140,625,223,160,235,13
"F",670,540,165,1501.5,518,358,505,14
"I",490,380,120,529,216.5,139,155,11
"F",490,390,135,578.5,246.5,123,200,13
"I",290,225,70,101,36,23.5,35,8
"I",260,200,70,92,37,20,30,6
"M",580,450,175,1068,425,203,320,13
"F",610,485,165,1091.5,393.5,243.5,330,18
"M",600,500,160,1015,399.5,173.5,330,19
"F",560,455,125,943,344,129,375,21
"F",575,450,170,1047.5,377.5,170.5,385,18
"F",570,450,175,955.5,380,166.5,295,18
"M",600,470,155,1036,437.5,196,325,20
"M",565,455,170,906.5,342,156,320,18
"M",545,420,140,750.5,247.5,130,255,22
"I",440,345,100,366,122,90.5,120,13
"M",500,410,150,662,281.5,137,220,11
"I",360,275,95,217,84,43.5,90,7
"I",385,305,95,252,91.5,55,90,14
"M",390,300,90,305.5,143,64.5,85,9
"M",500,415,165,688.5,249,138,250,13
"I",360,275,110,233.5,95,52.5,85,10
"I",335,260,100,192,78.5,58.5,70,8
"F",505,425,140,850,275,162.5,285,19
"I",395,295,100,271.5,134,32.5,85,10
"F",410,325,105,363.5,159,77,120,10
"F",560,455,190,714,283,129,275,9
"M",565,435,185,981.5,329,136,390,13
"M",565,455,185,926.5,354,157.5,375,16
"M",605,500,175,1098,476.5,232,375,12
"F",565,455,150,820.5,365,159,260,18
"M",725,565,215,1891,697.5,472.5,580,16
"F",675,535,160,1410,592,317.5,420,16
"F",665,555,195,1438.5,581,354,360,17
"F",565,490,155,924.5,405,219.5,255,11
"F",645,550,175,1291.5,570,304.5,330,14
"M",575,470,140,837.5,348.5,173.5,240,11
"F",640,540,175,1221,510,259,390,15
"I",360,280,105,199,69.5,45,80,9
"I",415,310,110,296.5,123,57,99.5,10
"F",525,410,135,708.5,293,152.5,235,11
"M",380,285,100,266.5,115,61,75,11
"F",585,465,170,991.5,386.5,224,265,12
"I",240,185,70,71.5,26,18,25,6
"I",220,165,55,54.5,21.5,12,20,5
"I",255,195,70,73.5,25.5,20,25,6
"I",175,125,50,23.5,8,3.5,8,5
"F",670,550,190,1390.5,542.5,303.5,400,12
"M",655,530,195,1388,567,273.5,410,13
"F",680,550,210,1744.5,597.5,305,625,17
"M",675,555,200,1438.5,545,266.5,465,21
"F",530,440,135,783.5,313,171.5,218.5,9
"F",515,405,120,646,289.5,140.5,177,10
"I",430,340,120,357.5,151,64.5,104.5,9
"F",520,405,120,627,264.5,141.5,181,11
"F",545,415,160,771.5,272,145.5,276.5,10
"M",530,415,175,739.5,261,139.5,264.5,17
"F",465,350,115,421,156.5,91,134.5,9
"M",665,540,175,1347,495.5,254,415,17
"M",735,590,225,1756,637,340.5,580,21
"M",660,545,185,1320,530.5,263.5,455,16
"F",700,585,185,1807.5,705.5,321.5,475,29
"M",575,400,155,932.5,360.5,244.5,300,17
"M",570,465,125,849,378.5,176.5,240,15
"F",580,460,150,995.5,429,212,260,19
"M",630,480,145,1011.5,423.5,237,305,12
"F",585,465,140,908,381,161.5,315,13
"M",550,450,130,920,378,238.5,290,11
"F",625,515,150,1241.5,523.5,306.5,360,15
"M",540,420,135,807.5,348.5,179.5,235,11
"F",570,455,165,1059.5,440,219.5,285,14
"M",590,455,145,1073,475,190,285,14
"M",580,460,130,921,357,181,290,13
"F",655,510,155,1289.5,534.5,285.5,410,11
"M",655,530,175,1263.5,486,263.5,415,15
"M",625,500,195,1369,587.5,218.5,370,17
"F",625,500,150,953,344.5,223.5,305,15
"F",640,520,175,1248,424.5,259.5,480,12
"F",605,485,165,1010.5,435,209,300,19
"F",615,525,155,1038.5,427,231.5,345,11
"M",555,450,175,874,327.5,202,305,10
"F",580,440,180,854,366.5,163.5,245,12
"F",620,520,225,1183.5,378,270,395,23
"F",620,470,225,1115,378,214.5,360,15
"F",600,505,190,1129,438.5,256,360,13
"F",625,485,190,1174.5,438.5,230.5,420,17
"M",600,470,175,1105,486.5,247,315,15
"M",560,460,235,839.5,332.5,157,305,12
"M",585,455,225,1055,381.5,221,365,15
"M",560,435,180,889,360,204,250,11
"I",560,445,155,873.5,300.5,209,275,16
"I",680,530,185,1109.5,439,245,340,10
"F",455,350,140,518.5,221,126.5,135,10
"F",490,380,145,672.5,249,181,210,10
"M",310,220,85,146,61,36.5,45,6
"F",275,195,70,80,31,21.5,25,5
"M",270,195,80,100,38.5,19.5,30,6
"M",400,290,115,279.5,111.5,57.5,75,9
"M",280,200,80,91.5,33,21.5,30,5
"M",325,230,90,147,60,34,45,4
"F",345,250,90,203,78,59,55,6
"M",210,150,50,38.5,15.5,8.5,10,3
"F",360,270,90,188.5,84.5,38.5,55,5
"I",365,260,115,218,93.5,44.5,70,9
"M",200,140,55,35,14.5,8,10,5
"M",235,160,60,54.5,26.5,9.5,15,4
"M",175,125,40,24,9.5,6,5,4
"M",155,110,40,15.5,6.5,3,5,3
"F",570,445,155,733,282,159,235,14
"F",570,450,160,971.5,396.5,255,260,12
"M",385,300,95,240,88.5,59,85,9
"I",530,420,185,752,299,156,205,20
"F",460,355,130,458,192,105.5,130,13
"I",470,370,120,470.5,184.5,105.5,155,12
"F",435,335,110,380,169.5,86,110,9
"I",470,370,140,498.5,209.5,122.5,145,10
"I",465,380,130,454,189.5,80,155,11
"I",520,405,140,577.5,200,145,179,11
"M",290,230,75,116.5,43,25.5,40,7
"M",275,205,70,94,33.5,20,32.5,5
"F",375,290,115,270.5,93,66,88.5,10
"F",500,375,140,604,242,141.5,179,15
"F",440,355,115,415,158.5,92.5,131,11
"M",420,325,115,288.5,100,57,113.5,15
"M",445,350,115,361.5,156.5,69.5,117,8
"F",380,290,105,257,99,51,85,10
"M",320,245,75,155.5,58.5,38,49,11
"M",255,195,65,80,31.5,18,27,8
"M",205,155,45,42.5,17,5.5,15.5,7
"F",565,450,160,795,360.5,155.5,230,12
"I",555,425,180,875,369.5,200.5,255,11
"I",650,515,160,1162.5,495,203,330,17
"I",615,490,155,988.5,414.5,195,345,13
"I",560,440,165,800,335,173.5,250,12
"I",480,370,120,514,207.5,131,155,13
"I",485,390,125,591,287,141,120,9
"I",500,385,150,626.5,260.5,166.5,160,10
"I",525,405,150,795,307.5,205,255,14
"F",660,500,165,1190.5,458.5,298,370,12
"F",660,530,170,1326,519,262.5,440,13
"I",520,400,145,660,267,105.5,220,13
"F",440,340,105,364,148,80.5,117.5,8
"I",515,400,120,659,270.5,179,170,13
"F",475,350,115,452,171.5,92,155,11
"F",545,415,150,733.5,279.5,163,218.5,11
"F",470,355,130,546.5,200.5,126,185,14
"M",350,255,65,179,70.5,38.5,60,10
"I",485,355,130,581,245,132,168,12
"I",435,330,125,406,168.5,105.5,96,12
"M",280,210,80,108.5,41,26.5,34.5,7
"F",410,320,115,387,165,100.5,98.5,11
"I",450,350,140,474,210,109,127.5,16
"I",450,345,135,443,197.5,87.5,117.5,14
"F",590,455,155,1066,382,227.5,415,20
"F",570,440,140,953.5,378.5,201,305,17
"I",610,475,150,966.5,414.5,200,345,10
"F",610,475,140,1133,527.5,235.5,350,11
"I",560,425,140,917.5,400.5,197.5,260,10
"F",585,435,175,982,405.5,249.5,270,10
"I",580,445,150,886.5,383,209,255,11
"F",630,480,175,1367.5,501.5,303.5,515,17
"F",625,490,175,1233,556.5,247,365,11
"I",550,425,150,806,376,171,245,14
"F",645,525,190,1463.5,661.5,343.5,435,19
"I",460,355,140,493.5,216,133,115,13
"F",410,305,100,363,173.5,65,110,11
"I",495,390,125,665.5,284,162,200,11
"I",520,425,170,680.5,280,174,195,10
"F",550,410,145,828.5,309.5,190.5,250,13
"M",450,335,140,462.5,164,76,150,14
"F",405,310,120,309.5,138,58,95,13
"I",510,400,150,745,286.5,167.5,235,13
"F",370,290,115,250,111,57,75,9
"I",525,410,175,874,358.5,207,205,18
"F",660,520,180,1514,526,297.5,420,19
"M",535,420,150,699.5,257.5,153,240,12
"I",575,455,180,852.5,301.5,182.5,300,13
"F",550,430,140,713.5,256.5,186,225,9
"I",605,470,140,939,338.5,201,320,13
"I",605,495,145,1054,369,225.5,360,12
"F",560,445,195,981,305,224.5,335,16
"I",535,420,145,926,398,196.5,250,17
"F",385,315,110,286,122.5,63.5,83.5,10
"F",390,300,100,265,107.5,60,86.5,13
"I",470,345,115,488.5,200.5,108,166,11
"I",515,390,140,555.5,200,113.5,223.5,12
"I",425,345,125,425,160,79.5,154,13
"M",345,270,90,195,78,45.5,59,9
"I",485,370,130,458,181,113,136,10
"M",370,285,100,228,67.5,67.5,81,10
"M",350,265,90,177.5,57.5,42,68,12
"F",440,345,170,408.5,150,82.5,151.5,12
"M",195,145,50,32,10,8,12,4
"M",325,240,75,155,47.5,35.5,60,9
"I",495,370,125,477.5,185,70.5,169,18
"I",450,350,145,525,208.5,100,165.5,15
"M",415,345,135,386.5,128,70,148,13
"F",470,355,140,433,152.5,95,152,12
"M",320,240,85,170,65.5,47,49,7
"M",310,225,75,129.5,45.5,33.5,44,9
"M",235,170,55,51.5,18,10.5,19.5,7
"M",345,255,80,169,60,42.5,54,10
"I",485,380,140,673,217.5,130,195,18
